class_team,class_name,teacher,classroom,start_time,end_time,day
1,"ΜΑΘΗΜΑΤΙΚΗ ΑΝΑΛΥΣΗ Ι",Φατούρος,Αμφιθέατρο,18:00,21:00,1
1,"ΓΡΑΜΜΙΚΗ ΑΛΓΕΒΡΑ",Φατούρος,Αμφιθέατρο,15:00,17:00",1
1,"ΕΙΣΑΓΩΓΗ ΣΤΗΝ ΕΠΙΣΤΗΜΗ ΤΩΝ ΥΠΟΛΟΓΙΣΤΩΝ",Βογιατζής,Αμφιθέατρο,12:00,15:00,1
1,"ΕΙΣΑΓΩΓΗ ΣΤΗΝ ΕΠΙΣΤΗΜΗ ΤΩΝ ΥΠΟΛΟΓΙΣΤΩΝ",Καντζάβελου,Αμφιθέατρο,12:00,15:00,1
1,"ΕΙΣΑΓΩΓΗ ΣΤΗΝ ΕΠΙΣΤΗΜΗ ΤΩΝ ΥΠΟΛΟΓΙΣΤΩΝ (ΑΠ)",Μάμαλης,Αμφιθέατρο,12:00,14:00,4
1,"ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ ΥΠΟΛΟΓΙΣΤΩΝ",Βασιλάς,Αμφιθέατρο,09:00,11:00,5
1,"ΔΙΑΚΡΙΤΑ ΜΑΘΗΜΑΤΙΚΑ",Μπάρλας,Αμφιθέατρο,12:00,14:00,3
1,"ΦΥΣΙΚΗ",Γιαννακόπουλος,Αμφιθέατρο,09:00,11:00,2
2,ΜΑΘΗΜΑΤΙΚΗ ΑΝΑΛΥΣΗ Ι,Φατούρος,113,17:00,20:00,4
2,ΜΑΘΗΜΑΤΙΚΗ ΑΝΑΛΥΣΗ Ι (ΑΠ),Φατούρος,113,16:00,18:00,1
2,ΓΡΑΜΜΙΚΗ ΑΛΓΕΒΡΑ,Μπάρλας,113,13:00,15:00,4
2,ΕΙΣΑΓΩΓΗ ΣΤΗΝ ΕΠΙΣΤΗΜΗ ΤΩΝ ΥΠΟΛΟΓΙΣΤΩΝ,Βογιατζής,113,12:00,15:00,1
2,ΕΙΣΑΓΩΓΗ ΣΤΗΝ ΕΠΙΣΤΗΜΗ ΤΩΝ ΥΠΟΛΟΓΙΣΤΩΝ,Καντζάβελου,113,12:00,15:00,1
2,ΕΙΣΑΓΩΓΗ ΣΤΗΝ ΕΠΙΣΤΗΜΗ ΤΩΝ ΥΠΟΛΟΓΙΣΤΩΝ (ΑΠ),Μπόγρης,114,12:00,14:00,4 
2,ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ ΥΠΟΛΟΓΙΣΤΩΝ,Ζάχαρης,Αμφιθέατρο,09:00,12:00,4
2,ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ ΥΠΟΛΟΓΙΣΤΩΝ (ΑΠ),Ζάχαρης,113, 09:00,11:00,5
2,ΔΙΑΚΡΙΤΑ ΜΑΘΗΜΑΤΙΚΑ,Πάντζιου,114,12:00,14:00,3
2,ΔΙΑΚΡΙΤΑ ΜΑΘΗΜΑΤΙΚΑ (ΑΠ),Πάντζιου,113,11:00,13:00,5 
2,ΦΥΣΙΚΗ,Γιαννακόπουλος,Αμφιθέατρο,09:00,11:00,2
2,ΦΥΣΙΚΗ (ΑΠ),Γιαννακόπουλος,Αμφιθέατρο,11:00,13:00,2